ID;Coil;Prozessabfolge;Ausklinkungen;Richten
2046;C1E;simultan;aktiviert;aktiviert
2047;C1E;simultan;aktiviert;aktiviert
2048;C1E;simultan;aktiviert;aktiviert
2049;C1E;simultan;aktiviert;aktiviert
2050;C1E;simultan;aktiviert;aktiviert
2051;C1E;rechts, links;aktiviert;aktiviert
2052;C1E;rechts, links;aktiviert;aktiviert
2053;C1E;rechts, links;aktiviert;aktiviert
2054;C1E;rechts, links;aktiviert;aktiviert
2055;C1E;rechts, links;aktiviert;aktiviert
2056;C1E;rechts, links;aktiviert;aktiviert
2057;C1E;rechts, links;aktiviert;aktiviert
2058;C1E;rechts, links;aktiviert;aktiviert
2059;C1E;rechts, links;aktiviert;aktiviert
2060;C1E;rechts, links;aktiviert;aktiviert
2061;C1E;rechts, links;aktiviert;aktiviert
2062;C1E;rechts, links;aktiviert;aktiviert
2063;C1E;rechts, links;aktiviert;aktiviert
2064;C1E;rechts, links;aktiviert;aktiviert
2065;C1E;rechts, links;aktiviert;aktiviert
2066;C1E;rechts, links;aktiviert;aktiviert
2067;C1E;rechts, links;aktiviert;aktiviert
2068;C1E;rechts, links;aktiviert;aktiviert
2069;C1E;rechts, links;aktiviert;aktiviert
2070;C1E;rechts, links;aktiviert;aktiviert
2071;C1E;rechts, links;aktiviert;aktiviert
2072;C1E;rechts, links;aktiviert;aktiviert
2073;C1E;rechts, links;aktiviert;aktiviert
2074;C1E;rechts, links;aktiviert;aktiviert
2075;C1E;rechts, links;aktiviert;aktiviert
2076;C1E;rechts, links;aktiviert;deaktiviert
2077;C1E;rechts, links;aktiviert;deaktiviert
2078;C1E;rechts, links;aktiviert;deaktiviert
2079;C1E;rechts, links;aktiviert;deaktiviert
2080;C1E;rechts, links;aktiviert;deaktiviert
2081;C1E;rechts, links;aktiviert;deaktiviert
2082;C1E;rechts, links;aktiviert;deaktiviert
2083;C1E;rechts, links;aktiviert;deaktiviert
2084;C1E;rechts, links;aktiviert;deaktiviert
2085;C1E;rechts, links;aktiviert;deaktiviert
2086;C1E;rechts, links;aktiviert;deaktiviert
2087;C1E;rechts, links;aktiviert;deaktiviert
2088;C1E;rechts, links;aktiviert;deaktiviert
2089;C1E;rechts, links;aktiviert;deaktiviert
2090;C1E;rechts, links;aktiviert;deaktiviert
2091;C1E;rechts, links;aktiviert;deaktiviert
2092;C1E;rechts, links;aktiviert;deaktiviert
