ID;VR;PNC01-Drehmoment;PNC03-Drehmoment;PNC05-Drehmoment;PresseSpindel1-Drehmoment;PresseSpindel2-Drehmoment;PNC01-Weg;PNC03-Weg;PNC05-Weg;L1;L2;L3;L4;L5;a1;a2;a3;a4;R1;R2;R3;R4
741;30;5,23;4,37;12,48;95,1;124,9;;34,02;;18,06572183;10,19998771;25,3278065;6,051319899;17,43425297;125,3911063;120,7000305;97,34915164;97,97738098;3,697453706;2,082578182;2,428734424;3,355950987
742;30;5,32;4,33;12,93;95,3;125,4;;34,02;;18,06839252;10,25975852;25,12586479;6,057912513;17,19215159;125,6410216;121,0635797;97,4486886;98,37550329;3,700214737;2,108769326;2,48079759;3,436116813
743;30;5,25;4,54;12,49;94,8;124,9;;34,02;;18,02675092;10,26848091;24,96290979;5,990150647;17,25589783;125,9304654;121,3665094;96,99816836;97,99424043;3,817032596;2,166800781;2,636543109;3,35961433
744;30;5,03;4,49;12,23;94,5;124,5;;34,019;;18,13793496;10,1700235;25,15070559;5,961319409;17,44919643;125,4225174;120,5800252;97,57552648;98,40251947;3,735083103;2,1492235;2,509584425;3,438456668
745;30;5,1;4,37;13,14;75,2;69,1;34,02;34,019;;18,1898043;10,20796712;25,19480739;6,000601468;17,06438954;125,3176827;120,9293485;97,1306699;98,03878151;3,656535073;2,122242484;2,519788984;3,353888107
746;30;5,21;4,37;12,68;66,6;69,8;34,02;34,019;;18,11669715;10,20888556;25,07852042;6,124199443;17,29116755;125,1515735;121,0234889;97,80076811;98,99016482;3,739089631;2,090485461;2,531983905;3,408198791
747;30;5,05;4,22;12,31;65,4;70;34,02;34,019;;18,28853813;10,28315791;25,08591951;5,865163933;17,19506925;125,6054278;120,8776512;96,89552489;97,6325858;3,574813082;2,016640197;2,668879963;3,317265633
748;30;5,01;4,37;11,91;63,6;69,9;34,02;34,019;;18,14564783;10,27970927;25,13773169;5,988842804;17,20043397;125,5625779;121,1771272;97,35176158;97,79387972;3,645579835;2,062329853;2,575888145;3,447979028
749;30;5,25;4,43;11,59;64;69,7;34,02;34,019;;18,19270099;10,12547224;25,05895874;5,968154795;17,09869903;125,6209314;120,7982656;97,78295448;98,42811369;3,745248217;2,210062137;2,628076654;3,337361162
750;30;5,36;4,27;10,92;66,2;69,8;34,02;34,019;;18,25371394;10,18364494;25,06959718;5,844860198;17,15710365;125,6711157;121,1450274;97,26986233;98,49410263;3,667516502;2,186822442;2,584614918;3,45727865
